"state","district_name","version","nrecords","district_file","status"
"AS","Sivasagar",2020-12-15 13:11:00,104,"Sivasagar.pdf","TRUE"
"AS","Sonitpur",2020-12-15 13:11:00,104,"Sonitpur.pdf","TRUE"
"AS","South Salmara Mancachar",2020-12-15 13:11:00,104,"South Salmara Mancachar.pdf","TRUE"
"AS","Tinsukia",2020-12-15 13:11:00,104,"Tinsukia.pdf","TRUE"
"AS","Udalguri",2020-12-15 13:11:00,104,"Udalguri.pdf","TRUE"
"AS","West Karbi Anglong",2020-12-15 13:11:00,104,"West Karbi Anglong.pdf","TRUE"
"BR","Araria",2020-12-15 13:11:00,104,"Araria.pdf","TRUE"
"BR","Arwal",2020-12-15 13:11:00,104,"Arwal.pdf","TRUE"
"BR","Aurangabad",2020-12-15 13:11:00,104,"Aurangabad.pdf","TRUE"
"BR","Banka",2020-12-15 13:11:00,104,"Banka.pdf","TRUE"
"BR","Begusarai",2020-12-15 13:11:00,104,"Begusarai.pdf","TRUE"
"BR","Bhagalpur",2020-12-15 13:11:00,104,"Bhagalpur.pdf","TRUE"
"BR","Bhojpur",2020-12-15 13:11:00,104,"Bhojpur.pdf","TRUE"
"BR","Buxar",2020-12-15 13:11:00,104,"Buxar.pdf","TRUE"
"BR","Darbhanga",2020-12-15 13:11:00,104,"Darbhanga.pdf","TRUE"
"BR","Gaya",2020-12-15 13:11:00,104,"Gaya.pdf","TRUE"
"BR","Gopalganj",2020-12-15 13:11:00,104,"Gopalganj.pdf","TRUE"
"BR","Jamui",2020-12-15 13:11:00,104,"Jamui.pdf","TRUE"
"BR","Jehanabad",2020-12-15 13:11:00,104,"Jehanabad.pdf","TRUE"
"BR","Kaimur (Bhabua)",2020-12-15 13:11:00,104,"Kaimur (Bhabua).pdf","TRUE"
"BR","Katihar",2020-12-15 13:11:00,104,"Katihar.pdf","TRUE"
"BR","Khagaria",2020-12-15 13:11:00,104,"Khagaria.pdf","TRUE"
"BR","Kishanganj",2020-12-15 13:11:00,104,"Kishanganj.pdf","TRUE"
"BR","Lakhisarai",2020-12-15 13:11:00,104,"Lakhisarai.pdf","TRUE"
"BR","Madhepura",2020-12-15 13:11:00,104,"Madhepura.pdf","TRUE"
"BR","Madhubani",2020-12-15 13:11:00,104,"Madhubani.pdf","TRUE"
"BR","Munger",2020-12-15 13:11:00,104,"Munger.pdf","TRUE"
"BR","Muzaffarpur",2020-12-15 13:11:00,104,"Muzaffarpur.pdf","TRUE"
"BR","Nalanda",2020-12-15 13:11:00,104,"Nalanda.pdf","TRUE"
"BR","Nawada",2020-12-15 13:11:00,104,"Nawada.pdf","TRUE"
"BR","Pashchim Champaran",2020-12-15 13:11:00,104,"Pashchim Champaran.pdf","TRUE"
"BR","Patna",2020-12-15 13:11:00,104,"Patna.pdf","TRUE"
"BR","Purba Champaran",2020-12-15 13:11:00,104,"Purba Champaran.pdf","TRUE"
"BR","Purnia",2020-12-15 13:11:00,104,"Purnia.pdf","TRUE"
"BR","Rohtas",2020-12-15 13:11:00,104,"Rohtas.pdf","TRUE"
"BR","Saharsa",2020-12-15 13:11:00,104,"Saharsa.pdf","TRUE"
"BR","Samastipur",2020-12-15 13:11:00,104,"Samastipur.pdf","TRUE"
"BR","Saran",2020-12-15 13:11:00,104,"Saran.pdf","TRUE"
"BR","Sheikhpura",2020-12-15 13:11:00,104,"Sheikhpura.pdf","TRUE"
"BR","Sheohar",2020-12-15 13:11:00,104,"Sheohar.pdf","TRUE"
"BR","Sitamarhi",2020-12-15 13:11:00,104,"Sitamarhi.pdf","TRUE"
"BR","Siwan",2020-12-15 13:11:00,104,"Siwan.pdf","TRUE"
"BR","Supaul",2020-12-15 13:11:00,104,"Supaul.pdf","TRUE"
"BR","Vaishali",2020-12-15 13:11:00,104,"Vaishali.pdf","TRUE"
"DD","Dadra & Nagar Haveli",2020-12-15 13:11:00,104,"Dadra & Nagar Haveli.pdf","TRUE"
"DD","Daman",2020-12-15 13:11:00,104,"Daman.pdf","TRUE"
